target,observed,predicted,absolute_error,relative_error_percent,log10_error,readme_tolerance_log10,pass_readme_tolerance,pass_one_percent,pass_half_percent,pass_tenth_percent,formula,coefficient_needed_for_exact_fit,coefficient_deviation_percent,no_fit_status
alpha,0.0072973525692838015,0.007286223671553381,1.112889773042039e-05,0.1525059619191818,0.0006628305337952423,0.002,True,True,True,False,K^-1 * lnDict^-1 * U^-1,1.0015273889784457,0.15273889784457317,NO_FIT_VERIFIED
alpha_s_mZ,0.1181,0.11753902662993573,0.0005609733700642633,0.47499861986813147,0.002067807721421314,0.03,True,True,True,False,K^-1 * bits^-1 * bip_density^-1,1.00477265625,0.4772656249999896,NO_FIT_VERIFIED
g_I_squared,0.801,0.7869245677576164,0.014075432242383612,1.7572324896858442,0.007699411903957487,0.01,True,False,False,False,K * lnDict^-1,1.0178866346522797,1.7886634652279687,NO_FIT_VERIFIED
infoton_mass_micro_eV,5.6,5.5770980126045915,0.022901987395408163,0.40896406063228863,0.0017797501030747545,0.02,True,True,True,False,m_e[micro-eV] * dict^-2 * entropy^-2 * U,1.004106434447386,0.4106434447386009,NO_FIT_VERIFIED
proton_mass_MeV,938.2720813,924.6819152517684,13.590166048231595,1.4484248566153723,0.006336430028745492,0.01,True,False,False,False,m_e * pi * words^2,1.014697125383415,1.4697125383414944,NO_FIT_VERIFIED
W_mass_GeV,80.379,81.78462850632951,1.4056285063295064,1.7487509254027873,0.007529086501339046,0.01,True,False,False,False,m_e[GeV] * K * entropy * f1,0.9828130477327934,1.7186952267206568,NO_FIT_VERIFIED
Z_mass_GeV,91.1876,92.09282227080132,0.9052222708013176,0.9927032521980154,0.004289997032328383,0.01,True,True,False,False,m_e[GeV] * dict * total_bits / U,0.9901705447994689,0.9829455200531134,NO_FIT_VERIFIED
H_mass_GeV,125.2,126.62962780159998,1.4296278015999775,1.1418752408945507,0.0049310014937064585,0.02,True,False,False,False,m_e[GeV] * bits^2 * dict,0.9887101634394766,1.1289836560523403,NO_FIT_VERIFIED
sin2_thetaW,0.223,0.22396993365350687,0.0009699336535068659,0.43494782668469323,0.0018848583003715572,0.02,True,True,True,False,lnK / checksum,0.9956693577674252,0.4330642232574844,NO_FIT_VERIFIED
G_F_GeV_minus2,1.1663787e-05,1.1571395524887866e-05,9.239147511213345e-08,0.7921224479848051,0.0034538415399839356,0.05,True,True,False,False,1 / (pi * total_bits * f1),1.0079844712691237,0.7984471269123716,NO_FIT_VERIFIED
Lambda_QCD_GeV,0.217,0.21583524797553197,0.0011647520244680298,0.5367520850083087,0.0023373632364305148,0.05,True,True,False,False,U * bip_density / lnK,1.0053964866044496,0.539648660444958,NO_FIT_VERIFIED
