n,partial_sum,last_term,tail_bound
10,2393631.4090785543,1074506.0620511726,73352952.30578558
20,125091065.66620144,31551592.664922304,1689347392.0163999
50,15871823013.510859,1444391259.9308124,65729634860.9763
100,241108968797.72943,7152466513.210761,307330727297.1316
200,847279792666.8356,2993860259.5405464,124922526860.95074
500,968845859284.1865,219616.1670840981,9001971.174726287
1000,968851442420.1385,0.00019403513169033605,0.0079060507294814
2000,968851442420.1418,2.3880001046639917e-24,9.700935369415665e-23
5000,968851442420.1418,4.175616946470609e-87,1.6932419174416113e-85
